number of questions: 2
remember the names of the
available variables are:
A- int
B- int
C- int
S- stack
Q- Question in text
W- solution
model for answer submission: W(always) <A/B/C/S> <=>(always) <integer>

START: 1
S 2
S 3
S 1
S 4
A 0
B 0
C 0
Q עליכם לסיים את התרגיל כאשר מוצב ב-מחסנית הערך 10, הניחו כי ערכי המחסנית הוכנסו משמאל לימין:  4, 1, 3, 2
W S=10
END: 1

START: 2
S 2
S 4
S 3
S 1
Q עליכם לסיים את התרגיל כאשר מוצב ב-אוגר איי הערך 15, הניחו כי ערכי המחסנית הוכנסו משמאל לימין:  1, 3, 4, 2
W A=15 B=15
END: 2
