number of questions: 10
remember the names of the
available variables are:
A- int
B- int
C- int
S- stack
Q- Question in text
W- solution
model for answer submission: W(always) <A/B/C/S> <=>(always) <integer>

START: 1
A 2
B 4
C 6
Q עליכם לסיים את התרגיל כאשר מוצב ב-איי הערך 0, הניחו כי ערכי האוגרים: A=2, B=4, C=6
W A=00
END: 1

START: 2
S 2
S 3
S 1
S 4
A 0
B 0
C 0
Q עליכם לסיים את התרגיל כאשר מוצב ב-מחסנית הערך 10, הניחו כי ערכי המחסנית הוכנסו משמאל לימין:  4, 1, 3, 2
W S=10
END: 2

START: 3
S 2
S 4
S 3
S 1
Q עליכם לסיים את התרגיל כאשר מוצב ב-אוגרים איי ובי הערך 15, הניחו כי ערכי המחסנית הוכנסו משמאל לימין:  1, 3, 4, 2
W A=15 B=15
END: 3

START: 4
S 0
S 2
S 4
S 6
S 8
S 7
S 5
S 3
S 1
Q עלייכם לחבר את כל המספרים הזוגיים במחסנית ולחסר אל כל ה-אי זוגיים ולהכניסם לאוגר סי, הניחו כי ערכי המחסנית הוכנסו משמאל לימין:  1, 3, 5, 7, 8, 6, 4, 2
W C=04 S=00
END: 4

START: 5
S 9
S 8
S 0
S 6
S 4
S 7
S 5
S 3
S 1
S 2
Q לפניכם מחסנית בגודל 10 בה הערכים 0-9 כאשר סדרם אינו ידוע, עליכם להוציא מספרים עד קבלת המספר 0
W S=08 S=09
END: 5

START: 6
S 9
S 8
S 6
S 3
S 4
S 7
S 5
S 0
S 1
S 2
Q לפניכם מחסנית בגודל 10 בה הערכים 0-9 כאשר סדרם אינו ידוע, עליכם להוציא מספרים עד קבלת המספר 3
W S=06 S=08 S=09
END: 6

START: 7
A=0
Q כל המשתנים מאופסים, אין דבר במחסנית, עליכם להכניס עלייה ערכים כך שבסוף התכנית יוצאו משמאל לימין: 17, 15, 13, 11, 9, 7, 5, 3
W S=03 S=05 S=07 S=09 S=11 S=13 S=15 S=17
END: 7

START: 8
S 3
S 16
Q כל המשתנים מאופסים, במחסנית הוכנסו הערך 3 ואחריו 16, עליכם להכניס אלייה ערכים כך שבסוף התכנית יוצאו משמאל לימין: 1, 4, 7, 10, 13, 16
W S=16 S=13 S=07 S=04 S=01
END: 8

START: 9
A 3
B 3
Q באוגר איי הערך 3 ובאוגר בי הערך 3 או 4, אם איי ובי שווים הכניסו ל-סי את המספר 1, אם לא הכניסו את המספר 0, התכנית תבדוק רק את אוגר סי
W C=01
END: 9

START: 10
S 9
S 6
Q הוצאה ראשונה של המחסנית מוציאה את הערך 6 והוצאה שנייה מביאה את הערך 6 או 9, הערכים שווים הכניסו ל-סי את המספר 1, אם לא הכניסו את המספר 0, התכנית תבדוק רק את אוגר סי
W C=00
END: 10
